trending_id,trend_date_time,trend,user1_id,tweet1,user2_id,tweet2,user3_id,tweet3,user4_id,tweet4,user5_id,tweet5
2329,2022-03-04 03:00:26.669999,Internacional,879348307,"Em 2016, dep. @jairbolsonaro buscava apoio à autossuficiência do agronegócio, para nossa segurança alimentar. Neces… https://t.co/yKiEQBsqop",70042771,Impressionante discurso de @LulaOficial na 2a Assembleia do partido MORENA na Cidade do México agora pouco. Total d… https://t.co/mMuewH7WOC,106714016,"A Polícia Federal, em cooperação policial internacional, auxilia na destruição de laboratório de cocaína na Bolívia… https://t.co/qDHEk3bBW2",41523046,"Brasileiros com mais títulos sul-americanos:
9 – São Paulo
7 – Cruzeiro
6 – Santos
5 – Flamengo
5 – Grêmio
5 – Inte… https://t.co/mrLydPyk3Y",48491604,"⚫ Globo na temporada 2022:

◉ 1 vitória em 6 jogos na Copa do Nordeste
◉ Pior defesa da Copa do Nordeste (14)
◉ 6°… https://t.co/C5m3ulhhzW"
2330,2022-03-04 03:00:26.876145,Patrícia Abravanel,432983617,patrícia abravanel fazendo comercial na globo do nada meu pai,2870187801,"Santander vinha numa construção de imagem muito legal com Gil do Vigor, Marcos Mion e os campeões do BBB falidos. E… https://t.co/nHNTnRrFD4",80156246,achei de péssimo gosto esse comercial da patrícia abravanel citando diretamente a questão familiar com o tiago… pri… https://t.co/rFqVfNg9hS,2248145765,Que close errado esse comercial com a Patricia Abravanel falando do Tiago. De mal gosto mesmo.,2682908887,por que a patricia abravanel ta na minha tv quem fez isso apaga
2331,2022-03-04 03:00:27.03578,Luana Piovani,432983617,MEU DEUS A LUANA PIOVANI NO COMERCIAL DA GLOBO 🗣,132699857,"A Luana Piovani também apareceu nos comerciais da programação da Globo.

Várias pessoas que têm relações com partic… https://t.co/eTC0qDHxoh",237872146,meu deus o comercial do santander com a luana piovani obg marketing por tudo,2484226796,A PATRÍCIA ABRAVANEL E A LUANA PIOVANI FAZENDO PUBLI PRA SANTANDER KKKKK FORAM PERSPICAZ 🗣 #BBB22,941304403054727169,A LUANA PIOVANI MEU DEUS
2332,2022-03-04 03:00:27.200679,Dourado,68548594,Jade mandou avisar que fez delineado dourado e prata por conta das medalhas olímpicas. Tá temática ela 💅🌪 https://t.co/QLOFjg5plK,231809215,"Ótimo fio sobre Abramovich e oligarcas russos na Inglaterra. 
Aqui existia, como em Portugal, Irlanda e Suíça entre… https://t.co/SIaTn7ZitZ",20237983,"Na manhã desta quinta-feira, os atletas #Sub20 da #BaseGremista se reapresentaram no CFT Hélio Dourado, em Eldorado… https://t.co/rV0pHMaLma",19256800,#GLOxINT | 2T | ⏱️ 0' - Equipe colorada retorna com uma alteração. Rodrigo Dourado entra na vaga de Johnny.… https://t.co/BzA5zahyRO,20237983,A #BaseGremista está de volta ao CFT Hélio Dourado para as atividades da temporada 2022. Os atletas e a comissão té… https://t.co/DTQesjHQNb
2333,2022-03-04 15:00:17.502405,ME USA NO YOUTUBE 12H,0,-,0,-,0,-,0,-,0,-
2334,2022-03-04 15:00:17.671573,TURNÊ CAMINHO,132699857,"Juliette acaba de anunciar a sua primeira turnê “Caminho”.

Os primeiros shows ocorrerão no Rio de Janeiro (26/03),… https://t.co/FcaLKdbUZa",132699857,Juliette em foto promocional para a sua primeira turnê “Caminho” 💙 https://t.co/2sqN2pNwjg,632245323,"Que delícia que é ver a Juliette continuar vencendo… 

Que a Turnê Caminho seja um sucesso e preencha seu coração s… https://t.co/bYjkhGXdkD",16725544,"A #TurnêCaminho, que marca a estreia de #Juliette nos palcos vai passar por cinco cidades brasileiras!
https://t.co/oV8rPpOeSz",47833138,Juliette anuncia as primeiras datas da sua nova turnê “Caminho” - https://t.co/UoIXj2zjW8 (via @nacaodamusica… https://t.co/SFq14DbbU5
2337,2022-03-04 15:00:18.138375,#sextou,1113094855281008641,"Lançar meu livro na cidade em que nasci tem um gostinho especial, pois foi em Maringá onde tudo começou. Vai ser um… https://t.co/WFKCRdHzhX",71040000,"🤩 #SEXTOU E TEM JOGÃO! 🔥

Superliga Feminina 2021/22
🏐 Sesi Vôlei Bauru x Itambé/Minas
🗓 4/3 ⏰ 21h
📍  Bauru (SP)
📺… https://t.co/3EJ4a0wsZB",49751816,"#SEXTOU, nação santista 😬🎉 Bora aproveitar para conhecer nosso novo produto licenciado!

Garanta a cachaça oficial… https://t.co/RssDWgKz46",0,-,0,-
2338,2022-03-04 15:00:18.321605,Sandra Annenberg,53457200,Espero que hoje esteja sendo um treinamento do público matinal para o vindouro Encontro com Sandra Annenberg https://t.co/ljP0BRwYYf,116247695,Incrível como a Sandra Annenberg passa uma fofura na TV né??? #MaisVoce,0,-,0,-,0,-
2339,2022-03-04 15:00:18.443436,13M DE SOBRE,0,-,0,-,0,-,0,-,0,-
2340,2022-03-04 15:00:18.590875,61 X,0,-,0,-,0,-,0,-,0,-
2341,2022-03-04 15:00:18.7478,Kaido,0,-,0,-,0,-,0,-,0,-
2342,2022-03-04 15:00:18.888207,#MaisVoce,18219976,Quem você colocaria de volta na casa do #BBB22? 👀 #MaisVocê https://t.co/73vvuXmAdz,18219976,Acredite nos seus sonhos! ✨ @GilDoVigor #MaisVocê https://t.co/fCT6iXPEoQ,38427754,"Você vigorou, Gil ❤️ #TVeFamosos 

No #MaisVocê, @GilDoVigor se emociona ao relembrar trajetória: 'Para mim, valeu… https://t.co/ThMqKPYpM4",18219976,Será que a repescagem vem aí? 🤭 #MaisVocê #BBB22 https://t.co/JYHN4jS9iC,116247695,Incrível como a Sandra Annenberg passa uma fofura na TV né??? #MaisVoce
2343,2022-03-04 21:00:29.332443,#Pfizergate,0,-,0,-,0,-,0,-,0,-
2344,2022-03-04 21:00:29.457625,holly,0,-,0,-,0,-,0,-,0,-
2345,2022-03-04 21:00:29.613955,ISSO É CALYPSO TOUR,0,-,0,-,0,-,0,-,0,-
2346,2022-03-04 21:00:29.814358,Nubank,32529120,"Usuários reclamam de instabilidade no aplicativo do Nubank
https://t.co/aLEy5FGWhT",1523748277,Aplicativos do Nubank e do Banco do Brasil enfrentam instabilidade https://t.co/dG7rQ7BP9j,54341363,Aplicativos do Banco do Brasil e Nubank apresentam instabilidade; clientes têm dificuldade para fazer transações https://t.co/qBFk9M1kdK,8209042,AGORA na CBN: clientes reclamam e Nubank admite oscilação nos serviços. É o segundo dia de problema em apps de banc… https://t.co/RmRHVX5hgm,554182536,"Entre as reclamações citadas, estão dificuldades na consulta da fatura do cartão de crédito e do saldo na conta-cor… https://t.co/K5yWN1FLli"
2347,2022-03-04 21:00:30.000274,#NeresVoltaPraCasa,10842792,Tem são-paulino empolgado com a #NeresVoltaPraCasa aí? 🧐 #ge https://t.co/ucRz0DEOwF,15488353,"#NeresVoltaPraCasa: torcida do São Paulo pede retorno do atacante, sem futuro definido na Ucrânia… https://t.co/x4K2ph6hCn",0,-,0,-,0,-
2348,2022-03-04 21:00:30.162063,Francesca,0,-,0,-,0,-,0,-,0,-
